Job,Salary,Company,Location
Especialista en Servicio Especializado de Grandes Datos,,Sinergia de Negocio Consultores,Qro.
Gerente de Analítica Avanzada TLALPAN,,Grupo Salinas,CDMX
Analista data web,,Grupo Zorro Abarrotero,Edo. Méx.​
Jefe de sistemas y facturación,"$12,000  Mensual",,Edo. Méx.​
Consultor Jr. Proyectos Comerciales,,"Operativo Evenplan, S.C.",CDMX
GERENTE DE ANALITICA,"$25,000 - $25,700  Mensual",Banorte,CDMX
Associate Data Scientist,,BBVA Bancomer,CDMX
Técnico Laboratorista Clínico - Proyecto para farmacias,,,Ciudad de México
Soporte técnico,"$15,000 - $16,000  Mensual",Comercial de Carnes Frías del Nort...,BC.
Analista de Sistemas,"$17,000 - $17,100  Mensual",Femsa,Edo. Méx.​
Especialista Oracle,,TECNOMOTUM SAPI DE CV,Ciudad de México
Ing de Datos TI Tableau,,MOVIT SOLUTION GROUP SA DE CV,N.L.
Practicante,,DIMEX CAPITAL,N.L.
CONSULTOR MINERO DE DATOS (ANALISIS DE DATOS),"$32,000 - $37,000  Mensual","AVP Support & Solutions, S.A. de C...",Ciudad de México
